BC1F,0x45000000
BEQL,0x50000000
BGEZAL,0x04310000
BGEZALL,0x04130000
BGEZL,0x04030000
BLTZALL,0x04120000
BLTZL,0x04020000
BNEL,0x54000000
C.DEQ.D,0x44000030
CACHE,0xbc000000
CVT.PS.S,0x46000026
CVT.S.PL,0x46c00028
CVT.S.PU,0x46c00020
DCLO,0x70000025
DCLZ,0x70000024
LDL,0x68000000
LDR,0x6c000000
LDXC1,0x4c000001
LL,0xc0000000
LLD,0xd0000000
LUXC1,0x4c000005
LWL,0x88000000
LWLE,0x7c000019
LWR,0x98000000
LWRE,0x7c00001a
LWXC1,0x4c000000
MADD,0x70000000
MADD.D,0x4c000020
MADDU,0x70000001
MOVF,0x00000001
MOVF.D,0x44000011
MOVN.D,0x44000013
MOVT,0x00010001
MOVT.D,0x44010011
MOVZ.D,0x44000012
MSUB,0x70000004
MSUB.D,0x4c000028
MSUBU,0x70000005
MUL,0x70000002
NEG.S,0x44000007
NMADD.D,0x4c000030
NMSUB.D,0x4c000038
PLL.PS,0x46c0002c
PLU.PS,0x46c0002d
PREF,0xcc000000
PREFX,0x4c00000f
PUL.PS,0x46c0005e
PUU.PS,0x46c0002f
RINT.fmt,0x4400001a
SC,0xe0000000
SCD,0xf0000000
SDBBP,0x7000003f
SDL,0xb0000000
SDR,0xb4000000
SDXC1,0x4c000009
SUB.D,0x44000001
SUXC1,0x4c00000d
SWL,0xa8000000
SWLE,0x7c000021
SWR,0xb8000000
SWRE,0x7c000022
SWXC1,0x4c000008
TEQI,0x040c0000
TGEI,0x04080000
TGEIU,0x04090000
TLTI,0x040a0000
TLTIU,0x040b0000
TNEI,0x040c0000
